"",Dealer Name,Mailing & Business Address,City,County,Zip
88716,EJB'S Gunshop,11404 Cantebury Court,Bowie,Prince George's,20721
11413,"Ellicott Arms, Inc.",4826 Ilchester Road,Ellicott City,Howard,21043
70818,"ELTS Consulting, LLC",48372 Sunburst Dr,Lexington Park,St. Mary's,20653
62715,Engage Armament LLC,701 E. Gude Dr Suite 101,Rockville,Montgomery,20850
90403,"EZ-HQL Firearms Traning Ctr, LLC",9660 Belair Road Suite 2000,Notthingham,Baltimore,21236
79718,"F&H Firearms, LLC (JD Tactical Firearms)",23258 Jenifer Ct,Leonardtown,St. Mary's,20650
88917,Federal Resrouces Supply Co.,235-G Log Canoe Road,Stevensville,Queen Annes,21037
78404,Firearms Transfer and Sales,495 Grantham Dr,Owings,Calvert,20736
87718,Flat Broke Shooters LLC,4875 St James Church Rd,Lexington Park,St. Mary's,20653
76713,"Fox's Firearms, LLC",9190 Red Branch Rd Suite F,Columbia,Howard,21045
18914,"Fred's Firearm Service, LLC",21248 Maine Ave,Chestertown,Kent,21620
2008,"Fred's Sports & Furniture, Inc",2895 Crain Highway,Waldorf,Charles,20601
81707,Free State Firearm Services,41 Chesters Way,Elkton,Cecil,21921
67003,Free State Gun Range,11500 Crossroads Cir,Middle River,Baltimore County,21220
72304,Free State Militia Firearms,4417 Cassell Blvd,Prince Frederick,Calvert,
71415,"Freestate Services, LLC",311 Creek Valley Ln,Rockville,Montgomery,20850
70121,"Frost Enterprises, LLC",920 West Washington St Suite 103,Washington,Washington,21740
52913,Fulton Armory,8725 Bollman Place #1,Savage,Howard,20763
38022,"Fur, Fins & Feathers",23501 Marsh Road,Mardela Springs,Wicomico,21837
66922,Gander Mountain,2410 N. Salisbury Blvd.,Salisbury,Wicomico,21801
79517,Ghost Vector Group,1100 Butterworth Court Suite B,Stevensville,Queen Anne's,21666
73704,GiGi's Gun Shop,1805 Western Shore Blvd,Port Republic,Calvert,20676
64318,GLR Enterprises,"29920 Three Notch Rd, Unit 64",Charlotte Hall,St. Mary's,20622
34501,Gostomski's Gunsmith Service,16428 Calla Hill Road NW.,Mt. Savage,Allegany,21545
84703,"Gun Connection, LLC","11433 Pulaski Hwy., Unit 3",White Marsh,Baltimore County,21162
86908,"Gun Monkey's Armory, LLC",5 Derby Dr,La Plata,Charles,20646
48906,"Gun Shack, Inc.",101 S Main St PO Box 73,Mt. Airy,Carroll,21771
77908,Gunny's Transfer,4015 Countryside Lane,White Plains,Charles,20695
22010,Gunrunners,47 E. Patrick St. #2,Frederick,Frederick,21701
88823,Guns R Us,113929 Marina Drive,Berlin,Worcester,21811
66710,Gutters For Less,9615 Liberty Road,Frederick,Frederick,21701
81821,"Hafers Gunsmithing, Inc.",15411 National Pike,Hagerstown,Washington,21740
90602,"Hanover Armory, LLC",1327 Ashton Rd Suite 5,Hanover,Anne Arundel,21076
1512,Harford Ordnance,637 Box Elder Drive,Edgewood,Harford,21040
77516,Haze Line Guns,11295 Laurel Walk Dr,Laurel,Prince George's,20708
20815,Heather House Imports (H.H.I.),11612 Middlebrook Road,Germantown,Montgomery,20876
88717,Hellthy Obession Tactical,248 Hayden Rd,Centreville,Queen Anne's,21617
86721,Hendershot's Sporting Goods,1982 National Pike,Hagerstown,Washington,21740
81510,Heritage Training and Shooting Center,4537 Metropolitan Ct,Frederick,Frederick,21704
55721,High Caliber Arms,800 S. Potomac Street,Hagerstown,Washington,21740
92417,"Himmel Firearms, LLC.",2017 Dudley Corners Rd.,Crumpton,Queen Anne's,21628
32412,Historic Restorations,202 E. Broadway,Bel Air,Harford,21014
41203,HNP Gunsmithing,601 E. Back River Neck RD,Essex,Baltimore County,21221
88918,"Hollywood Tactical Firearms, LLC",22571 Three Notch Rd,California,St. Marys,20619
62812,"Horst & McCann, Inc.",2137 N. Fountain Green Rd,Bel Air,Harford,21015
91512,Hott Trading Co.,701 English Ivy Way,Aberdeen,Harford,21001
